jenis sekolah/ jenjang,status sekolah,mata_pelajaran,nilai_rataan_ujian,,,,,,,,
SD,Negeri,Bahasa Indonesia,68.91,,,,,,,,
SD,Negeri,Matematika,54.02,,,,,,,,
SD,Negeri,IPA,67.36,,,,,,,,
SD,Swasta,Bahasa Indonesia,70.55,,,,,,,,
SD,Swasta,Matematika,59.54,,,,,,,,
SD,Swasta,IPA,68.80,,,,,,,,
SMP/MTS,Negeri,Bahasa Indonesia,75.96,,,,,,,,
SMP/MTS,Negeri,Bahasa Inggris,60.94,,,,,,,,
SMP/MTS,Negeri,Matematika,52.52,,,,,,,,
SMP/MTS,Negeri,IPA,56.09,,,,,,,,
SMP/MTS,Swasta,Bahasa Indonesia,65.62,,,,,,,,
SMP/MTS,Swasta,Bahasa Inggris,53.75,,,,,,,,
SMP/MTS,Swasta,Matematika,42.99,,,,,,,,
SMP/MTS,Swasta,IPA,46.67,,,,,,,,
SMA/MA IPA,Negeri,Bahasa Indonesia,77.82,,,,,,,,
SMA/MA IPA,Negeri,Bahasa Inggris,70.21,,,,,,,,
SMA/MA IPA,Negeri,Matematika,50.41,,,,,,,,
SMA/MA IPA,Negeri,Fisika,51.10,,,,,,,,
SMA/MA IPA,Negeri,Kimia,60.17,,,,,,,,
SMA/MA IPA,Negeri,Biologi,63.21,,,,,,,,
SMA/MA IPA,Swasta,Bahasa Indonesia,72.47,,,,,,,,
SMA/MA IPA,Swasta,Bahasa Inggris,66.85,,,,,,,,
SMA/MA IPA,Swasta,Matematika,43.74,,,,,,,,
SMA/MA IPA,Swasta,Fisika,69.81,,,,,,,,
SMA/MA IPA,Swasta,Kimia,54.59,,,,,,,,
SMA/MA IPA,Swasta,Biologi,55.30,,,,,,,,
SMA/MA IPS,Negeri,Bahasa Indonesia,75.46,,,,,,,,
SMA/MA IPS,Negeri,Bahasa Inggris,64.80,,,,,,,,
SMA/MA IPS,Negeri,Matematika,46.18,,,,,,,,
SMA/MA IPS,Negeri,Ekonomi,61.77,,,,,,,,
SMA/MA IPS,Negeri,Sosiologi,69.01,,,,,,,,
SMA/MA IPS,Negeri,Geografi,69.12,,,,,,,,
SMA/MA IPS,Swasta,Bahasa Indonesia,65.47,,,,,,,,
SMA/MA IPS,Swasta,Bahasa Inggris,56.70,,,,,,,,
SMA/MA IPS,Swasta,Matematika,38.46,,,,,,,,
SMA/MA IPS,Swasta,Ekonomi,71.05,,,,,,,,
SMA/MA IPS,Swasta,Sosiologi,59.91,,,,,,,,
SMA/MA IPS,Swasta,Geografi,57.49,,,,,,,,
SMA/MA BAHASA,Negeri,Bahasa Indonesia,70.20,,,,,,,,
SMA/MA BAHASA,Negeri,Bahsa Inggris,67.09,,,,,,,,
SMA/MA BAHASA,Negeri,Matematika,50.55,,,,,,,,
SMA/MA BAHASA,Negeri,Sastra Indonesia,77.96,,,,,,,,
SMA/MA BAHASA,Negeri,Antropologi,72.77,,,,,,,,
SMA/MA BAHASA,Negeri,Bahasa Asing,76.35,,,,,,,,
SMA/MA BAHASA,Swasta,Bahasa Indonesia,66.35,,,,,,,,
SMA/MA BAHASA,Swasta,Bahsa Inggris,76.98,,,,,,,,
SMA/MA BAHASA,Swasta,Matematika,59.67,,,,,,,,
SMA/MA BAHASA,Swasta,Sastra Indonesia,76.67,,,,,,,,
SMA/MA BAHASA,Swasta,Antropologi,74.78,,,,,,,,
SMA/MA BAHASA,Swasta,Bahasa Asing,82.90,,,,,,,,
SMK ,Negeri,Bahasa Indonesia,78.10,,,,,,,,
SMK ,Negeri,Bahasa inggris,60.02,,,,,,,,
SMK ,Negeri,Matematika,54.11,,,,,,,,
SMK ,Negeri,Kompetensi,57.36,,,,,,,,
SMK ,Swasta,Bahasa Indonesia,65.41,,,,,,,,
SMK ,Swasta,Bahasa inggris,44.23,,,,,,,,
SMK ,Swasta,Matematika,35.08,,,,,,,,
SMK ,Swasta,Kompetensi,43.87,,,,,,,,
